org.graphiks.math.SkV3Test	M44Test	math/src/commonTest/kotlin/SkV3Test.kt:11	tests/M44Test.cpp:1
org.graphiks.math.SkV3Test.dot product matches the manual formula	M44_v3	math/src/commonTest/kotlin/SkV3Test.kt:35	tests/M44Test.cpp:77
org.graphiks.math.SkV3Test.cross product satisfies right-hand rule	M44_v3	math/src/commonTest/kotlin/SkV3Test.kt:43	tests/M44Test.cpp:77
org.graphiks.math.SkV3Test.length and lengthSquared	M44_v3	math/src/commonTest/kotlin/SkV3Test.kt:50	tests/M44Test.cpp:77
org.graphiks.math.SkV3Test.length of unit axes is 1	M44_v3	math/src/commonTest/kotlin/SkV3Test.kt:89	tests/M44Test.cpp:77
org.graphiks.math.SkV3Test.normalize returns unit length	M44_v3	math/src/commonTest/kotlin/SkV3Test.kt:76	tests/M44Test.cpp:77
org.graphiks.math.SkV3Test.normalize of zero is zero	M44_v3	math/src/commonTest/kotlin/SkV3Test.kt:83	tests/M44Test.cpp:77
org.graphiks.math.SkV3Test.Cross companion mirrors instance cross	M44_v3	math/src/commonTest/kotlin/SkV3Test.kt:56	tests/M44Test.cpp:77
org.graphiks.math.SkV3Test.plus minus and unary minus	M44_v3	math/src/commonTest/kotlin/SkV3Test.kt:20	tests/M44Test.cpp:77
org.graphiks.math.SkV3Test.scalar multiplication on both sides	M44_v3	math/src/commonTest/kotlin/SkV3Test.kt:28	tests/M44Test.cpp:77
org.graphiks.math.SkV3Test.operator times SkV3 is component-wise, matching Skia upstream	M44_v3	math/src/commonTest/kotlin/SkV3Test.kt:43	tests/M44Test.cpp:77
