org.graphiks.math.SkV4	SkV4	math/src/main/kotlin/SkV4.kt:13	include/core/SkM44.h:98
org.graphiks.math.SkV4.x	SkV4::x	math/src/main/kotlin/SkV4.kt:14	include/core/SkM44.h:99
org.graphiks.math.SkV4.y	SkV4::y	math/src/main/kotlin/SkV4.kt:15	include/core/SkM44.h:99
org.graphiks.math.SkV4.z	SkV4::z	math/src/main/kotlin/SkV4.kt:16	include/core/SkM44.h:99
org.graphiks.math.SkV4.w	SkV4::w	math/src/main/kotlin/SkV4.kt:17	include/core/SkM44.h:99
org.graphiks.math.SkV4.unaryMinus	SkV4::operator-	math/src/main/kotlin/SkV4.kt:20	include/core/SkM44.h:111
org.graphiks.math.SkV4.plus	SkV4::operator+(SkV4)	math/src/main/kotlin/SkV4.kt:22	include/core/SkM44.h:112
org.graphiks.math.SkV4.minus	SkV4::operator-(SkV4)	math/src/main/kotlin/SkV4.kt:23	include/core/SkM44.h:113
org.graphiks.math.SkV4.times	SkV4::operator*(SkV4)	math/src/main/kotlin/SkV4.kt:26	include/core/SkM44.h:115
org.graphiks.math.SkV4.times	SkV4::operator*(SkScalar)	math/src/main/kotlin/SkV4.kt:28	include/core/SkM44.h:118
org.graphiks.math.SkV4.lengthSquared	SkV4::lengthSquared	math/src/main/kotlin/SkV4.kt:30	include/core/SkM44.h:123
org.graphiks.math.SkV4.length	SkV4::length	math/src/main/kotlin/SkV4.kt:31	include/core/SkM44.h:124
org.graphiks.math.SkV4.dot	SkV4::dot	math/src/main/kotlin/SkV4.kt:33	include/core/SkM44.h:126
org.graphiks.math.SkV4.normalize	SkV4::normalize	math/src/main/kotlin/SkV4.kt:34	include/core/SkM44.h:127
org.graphiks.math.SkV4.get	SkV4::operator[]	math/src/main/kotlin/SkV4.kt:37	include/core/SkM44.h:132
org.graphiks.math.SkV4.Companion.Dot	SkV4::Dot	math/src/main/kotlin/SkV4.kt:46	include/core/SkM44.h:106
org.graphiks.math.SkV4.Companion.Normalize	SkV4::Normalize	math/src/main/kotlin/SkV4.kt:48	include/core/SkM44.h:109
org.graphiks.math.times	SkV4::operator*(SkScalar,SkV4)	math/src/main/kotlin/SkV4.kt:53	include/core/SkM44.h:121
