selectionOrdinal,name,family,renderCost,referenceStatus,route,outcome,cluster,refusalCode,primaryDiagnosticCode,diagnosticCodes,dispatch,refuse,similarity,minSimilarity,isPassing,noScoreCause,referenceAvailable,generatedAvailable,width,height
0,bigblurs,BLUR,non-blocking,trusted,refusal,refused,strokes,unsupported.stroke.rect_anti_alias,unsupported.stroke.rect_anti_alias,unsupported.stroke.rect_anti_alias,0,0,,31.0,,generated-render-missing,True,False,320,512
1,blur2rects,BLUR,non-blocking,trusted,gpu,rendered,other,,,,3,0,96.11514285714286,91.4,True,,True,True,700,500
2,blur2rectsnonninepatch,BLUR,non-blocking,trusted,refusal,refused,filters,unsupported.native-mask-blur.mixed-local-sizes,unsupported.native-mask-blur.mixed-local-sizes,unsupported.native-mask-blur.mixed-local-sizes,0,0,,90.5,,generated-render-missing,True,False,700,500
3,BlurBigSigma,BLUR,non-blocking,trusted,gpu,rendered,other,,,,2,0,0.0,0.0,True,,True,True,1024,1024
4,blurcircles2,BLUR,non-blocking,trusted,failure,failed,other,,invalid.surface.prepared.frame-build-contract,invalid.surface.prepared.frame-build-contract,0,0,,49.2,,generated-render-missing,True,False,730,1350
5,blurcircles,BLUR,non-blocking,trusted,failure,failed,other,,invalid.surface.prepared.frame-build-contract,invalid.surface.prepared.frame-build-contract,0,0,,81.6,,generated-render-missing,True,False,950,950
6,BlurDrawImage,BLUR,non-blocking,trusted,refusal,refused,images,unsupported.image.native_binding,unsupported.image.native_binding,unsupported.image.native_binding,0,0,,0.0,,generated-render-missing,True,False,256,256
7,blur_ignore_xform_circle,BLUR,non-blocking,trusted,refusal,refused,path-clip,unsupported.core_primitive.stencil_edge_fan_budget,unsupported.core_primitive.stencil_edge_fan_budget,unsupported.core_primitive.stencil_edge_fan_budget,0,0,,0.0,,generated-render-missing,True,False,375,475
8,blur_ignore_xform_rrect,BLUR,non-blocking,trusted,failure,failed,other,,stale.preflight.resource_generation,stale.preflight.resource_generation,0,0,,0.0,,generated-render-missing,True,False,375,475
9,blur_ignore_xform_rect,BLUR,non-blocking,trusted,failure,failed,other,,stale.preflight.resource_generation,stale.preflight.resource_generation,0,0,,0.0,,generated-render-missing,True,False,375,475
10,blur_image,BLUR,non-blocking,trusted,refusal,refused,images,unsupported.image.native_binding,unsupported.image.native_binding,unsupported.image.native_binding,0,0,,78.4,,generated-render-missing,True,False,500,500
11,blur_matrix_rect,BLUR,non-blocking,trusted,refusal,refused,filters,unsupported.native-mask-blur.mixed-local-sizes,unsupported.native-mask-blur.mixed-local-sizes,unsupported.native-mask-blur.mixed-local-sizes,0,0,,87.0,,generated-render-missing,True,False,650,685
