group	family	name	similarity	threshold	status	matchingPixels	totalPixels	unmatchedPixels
B	COMPOSITE	transparency_check	1.6674933862433863	0.0	pass	32272	1935360	1903088
Z	GRADIENT	hardstop_gradients_many	10.792	0.0	pass	215840	2000000	1784160
A	IMAGE	animatedGif	37.50159022703549	0.0	pass	919719	2452480	1532761
Z	TEXT	scaledemoji_colrv0	0.008888888888888889	0.0	pass	128	1440000	1439872
Z	TEXT	scaledemojipos_colrv0	0.017777777777777778	0.0	pass	256	1440000	1439744
Z	TEXT	scaledemojiperspective_colrv0	0.04555555555555556	0.0	pass	656	1440000	1439344
Z	TEXT	scaledemoji_rendering	0.07930555555555555	0.0	pass	1142	1440000	1438858
A	IMAGE	pictureshader	30.83743842364532	0.0	pass	626000	2030000	1404000
A	IMAGE	pictureshader_alpha	30.83743842364532	0.0	pass	626000	2030000	1404000
A	IMAGE	pictureshader_localwrapper	30.83743842364532	0.0	pass	626000	2030000	1404000
Z	TEXT	textblobtransforms	0.0	0.0	pass	0	1200000	1200000
Z	TEXT	textblobcolortrans	0.0	0.0	pass	0	1080000	1080000
Z	GRADIENT	radial_gradient	34.87353515625	33.5	pass	571368	1638400	1067032
B	COMPOSITE	draw_image_set_rect_to_rect	0.025788235294117647	0.0	pass	274	1062500	1062226
Z	BLUR	BlurBigSigma	0.0	0.0	pass	0	1048576	1048576
A	IMAGE	async_rescale_and_read_rose	0.001288915328177672	0.0	pass	13	1008600	1008587
A	IMAGE	imageshader_tinyscale	0.0	0.0	pass	0	1000000	1000000
Z	TEXT	mixedtextblobs	0.8509714285714285	0.0	pass	7446	875000	867554
A	IMAGE	encode-platform	14.018351236979168	0.0	pass	137806	983040	845234
C	PATH	nonclosedpaths	64.8406762295082	59.8	pass	1518828	2342400	823572
Z	TEXT	largeglyphblur	30.239149305555557	0.0	pass	348355	1152000	803645
A	IMAGE	imagemakewithfilter	50.22807128412538	0.0	pass	794809	1582400	787591
Z	BLUR	TiledBlurBigSigma	0.0	0.0	pass	0	786432	786432
Z	TEXT	coloremoji_colrv0	0.20692307692307693	0.0	pass	1614	780000	778386
B	COMPOSITE	tablecolorfilter	39.10857142857142	0.0	pass	451704	1155000	703296
Z	GRADIENT	gradients_interesting	17.215384615384615	10.8	pass	143232	832000	688768
Z	TEXT	surfaceprops	5.830555555555556	0.0	pass	41980	720000	678020
Z	GRADIENT	gradients_local_perspective	6.115980134385043	0.0	pass	41870	684600	642730
Z	GRADIENT	shallow_gradient_conical	0.0	0.0	pass	0	640000	640000
Z	GRADIENT	shallow_gradient_conical_nodither	0.0	0.0	pass	0	640000	640000
A	IMAGE	crbug_224618	0.23171874999999997	0.0	pass	1483	640000	638517
C	CLIP	complexclip4_aa	15.907877346021676	0.0	pass	120359	756600	636241
C	CLIP	complexclip4_bw	15.948321438012158	0.0	pass	120665	756600	635935
B	COMPOSITE	filterfastbounds	0.048412698412698414	0.0	pass	305	630000	629695
B	COMPOSITE	hslcolorfilter	32.89123376623377	0.0	pass	303915	924000	620085
C	PATH	filltypespersp	11.96036498431708	0.0	pass	83890	701400	617510
B	COMPOSITE	xfermodes	45.62673014193776	45.0	pass	517544	1134300	616756
B	COMPOSITE	composeshader_grid	21.272772147407714	4.5	pass	165486	777924	612438
B	COMPOSITE	ducky_yuv_blend	6.619469026548673	0.0	pass	41888	632800	590912
A	IMAGE	tilemode_decal	27.45669191919192	0.0	pass	217457	792000	574543
A	IMAGE	colorspace	0.7244001116071428	0.0	pass	4154	573440	569286
A	IMAGE	colorspace2	0.7244001116071428	0.0	pass	4154	573440	569286
Z	TEXT	textblobmixedsizes	86.23213032581454	85.0	pass	3440662	3990000	549338
B	COMPOSITE	HSL_duck	23.26474861958733	0.0	pass	160108	688200	528092
A	IMAGE	encode	14.51123046875	0.0	pass	89157	614400	525243
A	IMAGE	coordclampshader	38.83559959242472	0.0	pass	331590	853830	522240
B	COMPOSITE	save_behind	7.930228376191333	0.0	pass	44100	556100	512000
B	COMPOSITE	aaxfermodes	17.382764227642276	14.0	pass	106904	615000	508096
A	IMAGE	flippity	44.158822518807874	0.0	pass	390689	884736	494047
Z	MESH	vertices	58.26417894162576	0.0	pass	667489	1145625	478136
C	CLIP	convex_poly_clip	0.04555129842486164	0.0	pass	214	469800	469586
B	COMPOSITE	patch_alpha	71.76333333333334	0.0	pass	1184095	1650000	465905
B	COMPOSITE	patch_image_persp	71.79842424242425	0.0	pass	1184674	1650000	465326
Z	BLUR	imageblurrepeatmode	40.62148337595908	0.0	pass	317660	782000	464340
B	COMPOSITE	patch_primitive	72.24490909090909	0.0	pass	1192041	1650000	457959
Z	BLUR	blurcircles2	53.96823947234907	49.2	pass	531857	985500	453643
B	COMPOSITE	modecolorfilters	14.703369140625	0.0	pass	77088	524288	447200
B	COMPOSITE	modecolorfilters	14.703369140625	0.0	pass	77088	524288	447200
A	IMAGE	anisotropic_image_scale_mip	39.667758991022744	0.0	pass	288099	726280	438181
Z	BLUR	blurrect_gallery	65.05875651041667	64.5	pass	799442	1228800	429358
B	COMPOSITE	lcdblendmodes	20.614814814814814	0.0	pass	111320	540000	428680
A	IMAGE	bmp_filter_quality_repeat	0.00375	0.0	pass	15	400000	399985
