group	family	name	similarity	threshold	status	matchingPixels	totalPixels	unmatchedPixels
C	PATH	nonclosedpaths	64.8406762295082	59.8	pass	1518828	2342400	823572
C	CLIP	complexclip4_aa	15.907877346021676	0.0	pass	120359	756600	636241
C	CLIP	complexclip4_bw	15.948321438012158	0.0	pass	120665	756600	635935
C	PATH	filltypespersp	11.96036498431708	0.0	pass	83890	701400	617510
C	CLIP	convex_poly_clip	0.04555129842486164	0.0	pass	214	469800	469586
C	PATH	manycircles	20.5175	0.0	pass	98484	480000	381516
D	RUNTIME_EFFECT	rtif_distort	0.0	0.0	pass	0	375000	375000
C	PATH	trimpatheffect	79.099	74.1	pass	1107386	1400000	292614
D	RUNTIME_EFFECT	color_cube_rt	0.0	0.0	pass	0	262144	262144
D	RUNTIME_EFFECT	rippleshader	0.0	0.0	pass	0	262144	262144
D	RUNTIME_EFFECT	spiral_rt	0.0	0.0	pass	0	262144	262144
C	CLIP	complexclip_blur_tiled	0.3963470458984375	0.0	pass	1039	262144	261105
C	PATH	polygons	73.89327485380117	69.0	pass	707602	957600	249998
D	RUNTIME_EFFECT	kawase_blur_rt	76.66666666666667	76.66666666666667	pass	753664	983040	229376
C	CLIP	complexclip_aa_layer_invert	28.17472905101771	0.0	pass	85268	302640	217372
C	CLIP	complexclip_bw_layer_invert	28.31086439333862	0.0	pass	85680	302640	216960
C	CLIP	complexclip_aa_layer	30.39551942902458	0.0	pass	91989	302640	210651
C	CLIP	complexclip_bw_layer	30.668781390430876	0.0	pass	92816	302640	209824
C	CLIP	perspective_clip	67.21953125	0.0	pass	430205	640000	209795
C	CLIP	windowrectangles	42.43666666666667	0.0	pass	152772	360000	207228
C	PATH	dashcircle	81.56722222222223	36.5	pass	880926	1080000	199074
C	CLIP	croppedrects	22.2144	0.0	pass	55536	250000	194464
C	CLIP	clipdrawdraw	29.035568237304688	24.0	pass	76115	262144	186029
C	CLIP	complexclip_aa_invert	40.202550885540575	0.0	pass	121669	302640	180971
C	CLIP	complexclip_bw_invert	40.356529209621996	0.0	pass	122135	302640	180505
C	CLIP	pdf_crbug_772685	63.34587707136726	0.0	pass	307040	484704	177664
C	CLIP	complexclip_aa	48.370671424795134	0.0	pass	146389	302640	156251
C	CLIP	complexclip_bw	48.916864922019556	0.0	pass	148042	302640	154598
C	PATH	points	52.719068877551024	0.0	pass	165327	313600	148273
C	PATH	widebuttcaps	40.3775	26.3	pass	96906	240000	143094
