group	family	name	similarity	threshold	status	matchingPixels	totalPixels	unmatchedPixels
B	COMPOSITE	transparency_check	1.6674933862433863	0.0	pass	32272	1935360	1903088
B	COMPOSITE	draw_image_set_rect_to_rect	0.025788235294117647	0.0	pass	274	1062500	1062226
B	COMPOSITE	tablecolorfilter	39.10857142857142	0.0	pass	451704	1155000	703296
B	COMPOSITE	filterfastbounds	0.048412698412698414	0.0	pass	305	630000	629695
B	COMPOSITE	hslcolorfilter	32.89123376623377	0.0	pass	303915	924000	620085
B	COMPOSITE	xfermodes	45.62673014193776	45.0	pass	517544	1134300	616756
B	COMPOSITE	composeshader_grid	21.272772147407714	4.5	pass	165486	777924	612438
B	COMPOSITE	ducky_yuv_blend	6.619469026548673	0.0	pass	41888	632800	590912
B	COMPOSITE	HSL_duck	23.26474861958733	0.0	pass	160108	688200	528092
B	COMPOSITE	save_behind	7.930228376191333	0.0	pass	44100	556100	512000
B	COMPOSITE	aaxfermodes	17.382764227642276	14.0	pass	106904	615000	508096
B	COMPOSITE	patch_alpha	71.76333333333334	0.0	pass	1184095	1650000	465905
B	COMPOSITE	patch_image_persp	71.79842424242425	0.0	pass	1184674	1650000	465326
B	COMPOSITE	patch_primitive	72.24490909090909	0.0	pass	1192041	1650000	457959
B	COMPOSITE	modecolorfilters	14.703369140625	0.0	pass	77088	524288	447200
B	COMPOSITE	modecolorfilters	14.703369140625	0.0	pass	77088	524288	447200
B	COMPOSITE	lcdblendmodes	20.614814814814814	0.0	pass	111320	540000	428680
B	COMPOSITE	srgb_colorfilter	0.049336751302083336	0.0	pass	194	393216	393022
B	COMPOSITE	dstreadshuffle	0.0	0.0	pass	0	360400	360400
B	COMPOSITE	clip_shader_persp	76.54000425200198	0.0	pass	1080056	1411100	331044
B	RUNTIME_EFFECT	runtimecolorfilter	16.666666666666664	0.0	pass	65536	393216	327680
B	COMPOSITE	compare_atlas_vertices	0.010378510378510378	0.0	pass	34	327600	327566
B	COMPOSITE	backdrop_hintrect_clipping	42.755889892578125	0.0	pass	224164	524288	300124
B	COMPOSITE	lighting	35.48393021120294	0.0	pass	154568	435600	281032
B	COMPOSITE	imagefilterscropped	29.89921875	0.0	pass	114813	384000	269187
B	COMPOSITE	clip_shader_difference	0.0	0.0	pass	0	262144	262144
B	COMPOSITE	imagefilters_effect_order	1.019287109375	0.0	pass	2672	262144	259472
B	TEXT	coloremoji_blendmodes_colrv0	0.0328125	0.0	pass	84	256000	255916
B	COMPOSITE	perlinnoise_layered	0.0	0.0	pass	0	250000	250000
B	COMPOSITE	arithmode_blender	43.46030245746692	0.0	pass	183924	423200	239276
B	COMPOSITE	colorfiltershader	39.272507390486425	34.3	pass	146133	372100	225967
B	COMPOSITE	savelayer_f16	21.565555555555555	0.0	pass	58227	270000	211773
B	COMPOSITE	lightingcolorfilter	21.230307576894223	0.0	pass	56600	266600	210000
B	COMPOSITE	clip_shader	61.901282051282045	0.0	pass	337981	546000	208019
B	COMPOSITE	draw-atlas-colors	17.58347481607244	0.0	pass	43498	247380	203882
B	COMPOSITE	xfermodeimagefilter	52.41714285714286	0.0	pass	220152	420000	199848
B	COMPOSITE	draw_image_set	72.94137931034483	0.0	pass	528825	725000	196175
B	COMPOSITE	highcontrastfilter	42.74077380952381	0.0	pass	143609	336000	192391
B	COMPOSITE	aarectmodes	53.12988281249999	30.8	pass	163215	307200	143985
B	COMPOSITE	localmatriximagefilter	64.876220703125	0.0	pass	265733	409600	143867
B	COMPOSITE	composeshader_alpha	15.151515151515152	12.1	pass	25000	165000	140000
B	COMPOSITE	backdrop_imagefilter_croprect	54.800000000000004	0.0	pass	164400	300000	135600
B	COMPOSITE	xfermodes2	38.79976865240023	33.8	pass	83856	216125	132269
B	COMPOSITE	rasterallocator	27.282222222222224	0.0	pass	49108	180000	130892
B	COMPOSITE	srcmode	74.02898848684211	0.0	pass	360077	486400	126323
B	COMPOSITE	color4blendcf	30.555555555555557	0.0	pass	52800	172800	120000
B	COMPOSITE	hairmodes	61.368815104166664	41.5	pass	188525	307200	118675
B	COMPOSITE	imagefiltersclipped	73.14093023255815	0.0	pass	314506	430000	115494
B	COMPOSITE	perlinnoise_localmatrix	62.5	0.0	pass	192000	307200	115200
B	COMPOSITE	skbug_14554	41.75627240143369	0.0	pass	81550	195300	113750
B	COMPOSITE	imagefilters_xfermodes	56.76953125000001	0.0	pass	130797	230400	99603
B	COMPOSITE	imagefilterstransformed	2.9990079365079367	0.0	pass	3023	100800	97777
B	COMPOSITE	rotate_imagefilter	61.842	0.0	pass	154605	250000	95395
B	COMPOSITE	imagefiltersbase	73.33542857142858	0.0	pass	256674	350000	93326
B	COMPOSITE	draw_quad_set	85.74640624999999	0.0	pass	548777	640000	91223
B	COMPOSITE	patch_alpha_test	41.78690909090909	0.0	pass	57457	137500	80043
B	COMPOSITE	draw_image_set_alpha_only	0.0	0.0	pass	0	80000	80000
B	COMPOSITE	recordopts	0.0	0.0	pass	0	78030	78030
B	COMPOSITE	overdrawcolorfilter	12.5	10.0	pass	10000	80000	70000
B	COMPOSITE	perlinnoise	48.72287390029326	0.0	pass	66458	136400	69942
B	COMPOSITE	imagefilter_composed_transform	74.57275390625	0.0	pass	195488	262144	66656
B	COMPOSITE	imagefilter_matrix_localmatrix	74.76692199707031	0.0	pass	195997	262144	66147
B	COMPOSITE	crbug_918512	0.0	0.0	pass	0	65536	65536
B	COMPOSITE	clip_shader_nested	6.781005859375	0.0	pass	4444	65536	61092
B	COMPOSITE	clip_shader_layer	58.080668604651166	0.0	pass	79919	137600	57681
B	COMPOSITE	savelayer_initfromprev	12.26654052734375	0.0	pass	8039	65536	57497
B	COMPOSITE	colormatrix	38.585	0.0	pass	30868	80000	49132
B	COMPOSITE	shadermaskfilter_gradient	81.62384033203125	0.0	pass	213972	262144	48172
B	COMPOSITE	sk3d_simple	52.285555555555554	0.0	pass	47057	90000	42943
B	COMPOSITE	matriximagefilter	0.023809523809523808	0.0	pass	10	42000	41990
B	COMPOSITE	displacement	86.134	0.0	pass	258402	300000	41598
B	COMPOSITE	imagefiltersstroked	91.03581395348837	0.0	pass	391454	430000	38546
B	COMPOSITE	overdraw_canvas	84.9812	0.0	pass	212453	250000	37547
B	COMPOSITE	draw-atlas	89.66341145833333	0.0	pass	275446	307200	31754
B	COMPOSITE	color4shader	82.11805555555556	0.0	pass	141900	172800	30900
B	COMPOSITE	perlinnoise_rotated	68.109375	0.0	pass	47949	70400	22451
B	COMPOSITE	PlusMergesAA	69.482421875	0.0	pass	45536	65536	20000
B	COMPOSITE	simple-offsetimagefilter	84.6015625	0.0	pass	108290	128000	19710
B	COMPOSITE	imagefilter_convolve_subset	32.177083333333336	0.0	pass	9267	28800	19533
B	COMPOSITE	compositor_quads_color	92.20325921896602	0.0	pass	203405	220605	17200
B	COMPOSITE	fadefilter	75.0	70.0	pass	49152	65536	16384
B	COMPOSITE	colorfilterimagefilter	69.79693486590038	44.8	pass	36434	52200	15766
B	COMPOSITE	clipshadermatrix	17.106681034482758	0.0	pass	3175	18560	15385
B	COMPOSITE	offsetimagefilter	76.57833333333333	0.0	pass	45947	60000	14053
B	COMPOSITE	hsl	78.68333333333334	0.0	pass	47210	60000	12790
B	COMPOSITE	composeshader	30.555555555555557	25.6	pass	4400	14400	10000
B	COMPOSITE	discard	0.0	0.0	pass	0	10000	10000
B	COMPOSITE	dropshadow_pseudopersp	67.10926118626432	0.0	pass	16123	24025	7902
B	COMPOSITE	badpaint	36.0	31.0	pass	3600	10000	6400
B	COMPOSITE	imagefiltersunpremul	0.0	0.0	pass	0	4096	4096
B	COMPOSITE	gpusamplerstress	99.14713541666667	0.0	pass	304580	307200	2620
B	COMPOSITE	internal_links	99.27228571428572	0.0	pass	347453	350000	2547
B	COMPOSITE	crbug_1167277	96.80978260869566	0.0	pass	71252	73600	2348
B	COMPOSITE	crbug_1162942	98.64112903225806	0.0	pass	122315	124000	1685
B	COMPOSITE	colorfilterimagefilter_layer	0.0	0.0	pass	0	1024	1024
B	COMPOSITE	luminosity_overflow	99.62158203125	0.0	pass	65288	65536	248
B	COMPOSITE	crbug_1177833	99.84625	0.0	pass	159754	160000	246
B	COMPOSITE	crbug_1174186	99.99729166666667	0.0	pass	1439961	1440000	39
B	COMPOSITE	colorcomposefilter_alpha		0.0	render-failed			0
B	COMPOSITE	colorcomposefilter_wacky		0.0	render-failed			0
B	RUNTIME_EFFECT	colorcubecolorfilterrt		0.0	no-reference			0
B	TEXT	coloremoji_blendmodes		0.0	no-reference			0
B	COMPOSITE	composeCFIF		0.0	render-failed			0
B	COMPOSITE	destcolor		0.0	render-failed			0
B	COMPOSITE	extractalpha		0.0	render-failed			0
B	COMPOSITE	graphitestart		0.0	no-reference			0
B	COMPOSITE	mixerCF		0.0	render-failed			0
B	COMPOSITE	patch_image		0.0	render-failed			0
B	PATH	pathops_blend		0.0	render-failed			0
B	COMPOSITE	runtimecolorfilter_vertices_atlas_and_patch		0.0	render-failed			0
B	COMPOSITE	shadow_utils_gray		0.0	render-failed			0
B	COMPOSITE	shadow_utils_occl		0.0	render-failed			0
B	COMPOSITE	tileimagefilter		0.0	render-failed			0
B	COMPOSITE	xfermodes3		0.0	render-failed			0
