rowId,name,family,subfamily,classification,similarity,minSimilarity,fallbackReason,noScoreCause
aaclip,aaclip,CLIP,clip-path-aa-gated,instrumented-existing,89.64236111111111,88.2,none,
bug339297_as_clip,bug339297_as_clip,CLIP,clip-nested-bounded,no-score,,80.0,none,generated-render-missing
circular-clips,circular-clips,CLIP,clip-nested-bounded,instrumented-existing,11.863125,0.0,none,
clipcubic,clipcubic,CLIP,clip-nested-bounded,instrumented-existing,66.86768292682926,61.9,none,
clipdrawdraw,clipdrawdraw,CLIP,clip-nested-bounded,instrumented-existing,29.035568237304688,24.0,none,
cliplargerect,cliplargerect,CLIP,clip-large-budget-gated,instrumented-existing,52.734375,47.7,none,
clip_region,clip_region,CLIP,clip-nested-bounded,instrumented-existing,0.0,0.0,none,
clip_sierpinski_region,clip_sierpinski_region,CLIP,clip-nested-bounded,instrumented-existing,18.878399282915755,0.0,none,
clip_strokerect,clip_strokerect,CLIP,clip-rect,instrumented-existing,88.3125,71.8,none,
clipsuperrrect,clipsuperrrect,CLIP,clip-rrect,no-score,,0.0,none,reference-missing
complexclip3_complex,complexclip3_complex,CLIP,clip-complex-gated,no-score,,0.0,unsupported.coverage.complex_clip,generated-render-missing
complexclip3_simple,complexclip3_simple,CLIP,clip-complex-gated,no-score,,0.0,unsupported.coverage.complex_clip,generated-render-missing
complexclip4_aa,complexclip4_aa,CLIP,clip-complex-gated,instrumented-existing,0.0,0.0,none,
complexclip4_bw,complexclip4_bw,CLIP,clip-complex-gated,instrumented-existing,0.0,0.0,none,
complexclip_aa,complexclip_aa,CLIP,clip-complex-gated,instrumented-existing,9.872125297383029,0.0,none,
complexclip_aa_invert,complexclip_aa_invert,CLIP,clip-inverse-gated,instrumented-existing,3.4899550621200106,0.0,none,
complexclip_aa_layer,complexclip_aa_layer,CLIP,clip-complex-gated,instrumented-existing,4.8337959291567545,0.0,none,
complexclip_aa_layer_invert,complexclip_aa_layer_invert,CLIP,clip-inverse-gated,instrumented-existing,2.6133359767380386,0.0,none,
complexclip_blur_tiled,complexclip_blur_tiled,CLIP,clip-complex-gated,instrumented-existing,3.347015380859375,0.0,none,
complexclip_bw,complexclip_bw,CLIP,clip-complex-gated,instrumented-existing,10.412371134020619,0.0,none,
complexclip_bw_invert,complexclip_bw_invert,CLIP,clip-inverse-gated,instrumented-existing,3.640298704731695,0.0,none,
complexclip_bw_layer,complexclip_bw_layer,CLIP,clip-complex-gated,instrumented-existing,5.104084060269627,0.0,none,
complexclip_bw_layer_invert,complexclip_bw_layer_invert,CLIP,clip-inverse-gated,instrumented-existing,2.74781919111816,0.0,none,
