rowId,name,family,subfamily,classification,similarity,minSimilarity,isPassing,width,height,matchingPixels,totalPixels,maxDiff,meanDiff,fallbackReason,referencePath,generatedPath,diffPath,noScoreCause
animatedbackdropblur,animatedbackdropblur,BLUR,blur-backdrop-gated,no-score,,0.0,,512,1024,,,0/0/0/0,0.0/0.0/0.0/0.0,unsupported.blur.backdrop,,images/generated/animatedbackdropblur.png,,reference-missing
bigblurs,bigblurs,BLUR,blur-mask-basic,instrumented-existing,36.029052734375,31.0,true,320,512,57818,163840,255/221/221/0,189.28/182.76/182.76/0.0,none,images/reference/bigblurs.png,images/generated/bigblurs.png,images/diff/bigblurs.png,
blur2rects,blur2rects,BLUR,blur-rect-rrect-circle,instrumented-existing,96.44085714285714,91.4,true,700,500,336381,350000,255/255/255/0,57.07/57.07/57.07/0.0,none,images/reference/blur2rects.png,images/generated/blur2rects.png,images/diff/blur2rects.png,
blur2rectsnonninepatch,blur2rectsnonninepatch,BLUR,blur-rect-rrect-circle,instrumented-existing,95.47457142857144,90.5,true,700,500,333374,350000,182/182/182/0,47.27/47.27/47.27/0.0,none,images/reference/blur2rectsnonninepatch.png,images/generated/blur2rectsnonninepatch.png,images/diff/blur2rectsnonninepatch.png,
BlurBigSigma,BlurBigSigma,BLUR,blur-large-sigma-gated,expected-unsupported,0.0,0.0,true,1024,1024,0,1048576,206/206/206/0,121.2/121.2/121.2/0.0,unsupported.blur.large_sigma,images/reference/BlurBigSigma.png,images/generated/BlurBigSigma.png,images/diff/BlurBigSigma.png,
blurcircles2,blurcircles2,BLUR,blur-rect-rrect-circle,instrumented-existing,54.17473363774734,49.2,true,730,1350,531857,985500,255/255/255/0,58.46/58.46/58.46/0.0,none,images/reference/blurcircles2.png,images/generated/blurcircles2.png,images/diff/blurcircles2.png,
blurcircles,blurcircles,BLUR,blur-rect-rrect-circle,instrumented-existing,86.57240997229917,81.6,true,950,950,776679,902500,236/236/236/0,45.73/45.73/45.73/0.0,none,images/reference/blurcircles.png,images/generated/blurcircles.png,images/diff/blurcircles.png,
BlurDrawImage,BlurDrawImage,BLUR,blur-image-basic,instrumented-existing,70.751953125,0.0,true,256,256,46368,65536,221/247/252/0,42.09/106.99/50.38/0.0,none,images/reference/BlurDrawImage.png,images/generated/BlurDrawImage.png,images/diff/BlurDrawImage.png,
blur_ignore_xform_circle,blur_ignore_xform_circle,BLUR,blur-transform-or-perspective-gated,no-score,,0.0,,375,475,,,0/0/0/0,0.0/0.0/0.0/0.0,unsupported.blur.transform_or_perspective,images/reference/blur_ignore_xform_circle.png,,,generated-render-missing
blur_ignore_xform_rrect,blur_ignore_xform_rrect,BLUR,blur-transform-or-perspective-gated,no-score,,0.0,,375,475,,,0/0/0/0,0.0/0.0/0.0/0.0,unsupported.blur.transform_or_perspective,images/reference/blur_ignore_xform_rrect.png,,,generated-render-missing
blur_ignore_xform_rect,blur_ignore_xform_rect,BLUR,blur-transform-or-perspective-gated,no-score,,0.0,,375,475,,,0/0/0/0,0.0/0.0/0.0/0.0,unsupported.blur.transform_or_perspective,images/reference/blur_ignore_xform_rect.png,,,generated-render-missing
blur_image,blur_image,BLUR,blur-image-basic,instrumented-existing,83.3652,78.4,true,500,500,208413,250000,221/237/250/0,65.18/77.52/56.95/0.0,none,images/reference/blur_image.png,images/generated/blur_image.png,images/diff/blur_image.png,
blur_matrix_rect,blur_matrix_rect,BLUR,blur-transform-or-perspective-gated,expected-unsupported,91.97798989331835,87.0,true,650,685,408649,445250,255/255/255/0,50.28/50.28/50.28/0.0,unsupported.blur.transform_or_perspective,images/reference/blur_matrix_rect.png,images/generated/blur_matrix_rect.png,images/diff/blur_matrix_rect.png,
check_small_sigma_offset,check_small_sigma_offset,BLUR,blur-small-sigma,instrumented-existing,96.67999999999999,91.7,true,200,1200,232422,240000,255/255/255/0,45.37/110.01/110.01/0.0,none,images/reference/check_small_sigma_offset.png,images/generated/check_small_sigma_offset.png,images/diff/check_small_sigma_offset.png,
blurquickreject,blurquickreject,BLUR,blur-mask-basic,instrumented-existing,81.7511111111111,70.5,true,300,300,71801,90000,255/255/255/0,148.77/148.23/54.18/0.0,none,images/reference/blurquickreject.png,images/generated/blurquickreject.png,images/diff/blurquickreject.png,
blurrect_compare,blurrect_compare,BLUR,blur-rect-rrect-circle,instrumented-existing,80.53752276867031,79.7,true,900,1220,884302,1098000,255/255/255/0,46.98/49.92/46.98/0.0,none,images/reference/blurrect_compare.png,images/generated/blurrect_compare.png,images/diff/blurrect_compare.png,
blurrect_gallery,blurrect_gallery,BLUR,blur-rect-rrect-circle,instrumented-existing,73.71337890625,64.5,true,1200,1024,799442,1228800,255/255/255/0,148.3/148.3/148.3/0.0,none,images/reference/blurrect_gallery.png,images/generated/blurrect_gallery.png,images/diff/blurrect_gallery.png,
blurrects,blurrects,BLUR,blur-rect-rrect-circle,instrumented-existing,44.624787294384575,44.0,true,860,820,313035,705200,255/255/255/0,187.27/177.5/180.56/0.0,none,images/reference/blurrects.png,images/generated/blurrects.png,images/diff/blurrects.png,
BlurSmallSigma,BlurSmallSigma,BLUR,blur-small-sigma,instrumented-existing,87.890625,82.9,true,512,256,113664,131072,124/124/124/0,45.91/45.91/45.91/0.0,none,images/reference/BlurSmallSigma.png,images/generated/BlurSmallSigma.png,images/diff/BlurSmallSigma.png,
blurredclippedcircle,blurredclippedcircle,BLUR,blur-clip-interaction-gated,expected-unsupported,71.01875894456299,70.5,true,1164,802,662980,933528,255/255/255/0,248.0/236.07/236.07/0.0,unsupported.blur.clip_interaction,images/reference/blurredclippedcircle.png,images/generated/blurredclippedcircle.png,images/diff/blurredclippedcircle.png,
crbug_899512,crbug_899512,BLUR,blur-mask-basic,instrumented-existing,92.65310650887574,87.7,true,520,520,249154,270400,182/182/182/0,47.74/47.74/47.74/0.0,none,images/reference/crbug_899512.png,images/generated/crbug_899512.png,images/diff/crbug_899512.png,
emboss,emboss,BLUR,blur-mask-basic,instrumented-existing,55.95972222222222,55.5,true,600,120,42162,72000,255/255/255/0,158.93/108.6/112.76/0.0,none,images/reference/emboss.png,images/generated/emboss.png,images/diff/emboss.png,
embossmaskfilter,embossmaskfilter,BLUR,blur-mask-basic,instrumented-existing,78.10009765625,0.0,true,640,960,479847,614400,255/255/255/213,26.56/25.56/43.22/0.41,none,images/reference/embossmaskfilter.png,images/generated/embossmaskfilter.png,images/diff/embossmaskfilter.png,
fast_slow_blurimagefilter,fast_slow_blurimagefilter,BLUR,blur-filter-graph-gated,expected-unsupported,42.27543424317618,0.0,true,620,260,67724,161200,249/249/249/0,63.77/63.77/63.77/0.0,unsupported.blur.image_filter_graph,images/reference/fast_slow_blurimagefilter.png,images/generated/fast_slow_blurimagefilter.png,images/diff/fast_slow_blurimagefilter.png,
hdr-pip-blur,hdr-pip-blur,BLUR,blur-resource-budget-gated,expected-unsupported,0.0390625,0.0,true,640,360,0,230400,225/154/198/0,62.94/36.41/46.14/0.0,unsupported.blur.resource_budget,images/reference/hdr-pip-blur.png,images/generated/hdr-pip-blur.png,images/diff/hdr-pip-blur.png,
imageblur2,imageblur2,BLUR,blur-image-basic,instrumented-existing,9.9844,5.0,true,500,500,24961,250000,181/105/211/0,54.62/44.05/153.57/0.0,none,images/reference/imageblur2.png,images/generated/imageblur2.png,images/diff/imageblur2.png,
imageblurclampmode,imageblurclampmode,BLUR,blur-image-basic,instrumented-existing,78.27314578005115,0.0,true,850,920,612096,782000,255/255/255/0,15.16/54.06/45.01/0.0,none,images/reference/imageblurclampmode.png,images/generated/imageblurclampmode.png,images/diff/imageblurclampmode.png,
imageblur,imageblur,BLUR,blur-image-basic,instrumented-existing,32.3272,27.9,true,500,500,75017,250000,208/215/255/0,67.6/55.61/76.08/0.0,none,images/reference/imageblur.png,images/generated/imageblur.png,images/diff/imageblur.png,
imageblurrepeatmode,imageblurrepeatmode,BLUR,blur-image-basic,instrumented-existing,40.62148337595908,0.0,true,850,920,317660,782000,204/208/204/0,76.25/60.27/58.06/0.0,none,images/reference/imageblurrepeatmode.png,images/generated/imageblurrepeatmode.png,images/diff/imageblurrepeatmode.png,
