rowId,name,subfamily,classification,similarity,minSimilarity,fallbackReason,noScoreCause
encode,encode,animation-gated,expected-unsupported,14.51123046875,0.0,dependency.image.codec.unregistered,
all_bitmap_configs,all_bitmap_configs,texture-cache-candidate,instrumented-existing,39.51416015625,0.0,none,
all,all,texture-cache-candidate,no-score,,0.0,none,reference-missing
all_variants_8888,all_variants_8888,texture-cache-candidate,instrumented-existing,0.0,0.0,none,
alpha_bitmap_is_coverage_android,alpha_bitmap_is_coverage_android,texture-cache-candidate,no-score,,0.0,none,reference-missing
alpha_image_alpha_tint,alpha_image_alpha_tint,texture-cache-candidate,instrumented-existing,38.94736842105263,0.0,none,
alpha_image_shader_rt,alpha_image_shader_rt,bitmap-shader-affine,no-score,,0.0,none,generated-render-missing
animatedGif,animatedGif,animation-gated,expected-unsupported,37.50159022703549,0.0,dependency.image.codec.unregistered,
anisomips,anisomips,mipmap-gated,expected-unsupported,14.792899408284024,0.0,unsupported.image.mipmap_budget_exceeded,
anisotropic_image_scale,anisotropic_image_scale,texture-cache-candidate,no-score,,0.0,none,reference-missing
anisotropic_image_scale_aniso,anisotropic_image_scale_aniso,texture-cache-candidate,instrumented-existing,49.658120834939695,0.0,none,
anisotropic_image_scale_linear,anisotropic_image_scale_linear,strict-nearest-linear,instrumented-existing,49.658120834939695,0.0,none,
anisotropic_image_scale_mip,anisotropic_image_scale_mip,mipmap-gated,expected-unsupported,39.667758991022744,0.0,unsupported.image.mipmap_budget_exceeded,
async_rescale_and_read_alpha_type,async_rescale_and_read_alpha_type,texture-cache-candidate,instrumented-existing,0.0,0.0,none,
async_rescale_and_read_rose,async_rescale_and_read_rose,texture-cache-candidate,instrumented-existing,0.001288915328177672,0.0,none,
async_rescale_and_read_no_bleed,async_rescale_and_read_no_bleed,texture-cache-candidate,instrumented-existing,22.72222222222222,0.0,none,
attributes,attributes,texture-cache-candidate,no-score,,0.0,none,reference-missing
async_yuv_no_scale,async_yuv_no_scale,yuv-gated,expected-unsupported,56.666666666666664,0.0,unsupported.color.yuv_conversion,
bc1_transparency,bc1_transparency,texture-cache-candidate,instrumented-existing,56.547619047619044,0.0,none,
bicubic,bicubic,texture-cache-candidate,instrumented-existing,80.75,0.0,none,
bigmatrix,bigmatrix,texture-cache-candidate,instrumented-existing,7.960000000000001,0.0,none,
