rowId,name,family,subfamily,classification,similarity,minSimilarity,isPassing,width,height,matchingPixels,totalPixels,maxDiff,meanDiff,fallbackReason,referencePath,generatedPath,diffPath,noScoreCause
color,color,COLOR,color-solid,no-score,,0.0,,256,256,,,0/0/0/0,0.0/0.0/0.0/0.0,none,,images/generated/color.png,,reference-missing
const_color_processor,const_color_processor,COLOR,color-processor-gated,no-score,,0.0,,820,500,,,0/0/0/0,0.0/0.0/0.0/0.0,unsupported.material.color_processor,,images/generated/const_color_processor.png,,reference-missing
dark,dark,COLOR,color-solid,no-score,,0.0,,256,256,,,0/0/0/0,0.0/0.0/0.0/0.0,none,,images/generated/dark.png,,reference-missing
debug,debug,COLOR,color-solid,no-score,,0.0,,256,256,,,0/0/0/0,0.0/0.0/0.0/0.0,none,,images/generated/debug.png,,reference-missing
default,default,COLOR,color-solid,no-score,,0.0,,256,256,,,0/0/0/0,0.0/0.0/0.0/0.0,none,,images/generated/default.png,,reference-missing
encodesrgb,encodesrgb,COLOR,color-space-gated,no-score,,0.0,,512,256,,,0/0/0/0,0.0/0.0/0.0/0.0,unsupported.material.color_space,,images/generated/encodesrgb.png,,reference-missing
filter,filter,COLOR,color-filter-gated,no-score,,0.0,,256,256,,,0/0/0/0,0.0/0.0/0.0/0.0,unsupported.material.color_filter,,images/generated/filter.png,,reference-missing
high,high,COLOR,color-solid,no-score,,0.0,,256,256,,,0/0/0/0,0.0/0.0/0.0/0.0,none,,images/generated/high.png,,reference-missing
light,light,COLOR,color-solid,no-score,,0.0,,256,256,,,0/0/0/0,0.0/0.0/0.0/0.0,none,,images/generated/light.png,,reference-missing
low,low,COLOR,color-solid,no-score,,0.0,,256,256,,,0/0/0/0,0.0/0.0/0.0/0.0,none,,images/generated/low.png,,reference-missing
med,med,COLOR,color-solid,no-score,,0.0,,256,256,,,0/0/0/0,0.0/0.0/0.0/0.0,none,,images/generated/med.png,,reference-missing
name,name,COLOR,color-solid,no-score,,0.0,,256,256,,,0/0/0/0,0.0/0.0/0.0/0.0,none,,images/generated/name.png,,reference-missing
none,none,COLOR,color-solid,no-score,,0.0,,256,256,,,0/0/0/0,0.0/0.0/0.0/0.0,none,,images/generated/none.png,,reference-missing
one,one,COLOR,color-solid,no-score,,0.0,,256,256,,,0/0/0/0,0.0/0.0/0.0/0.0,none,,images/generated/one.png,,reference-missing
orientation,orientation,COLOR,color-solid,no-score,,0.0,,200,160,,,0/0/0/0,0.0/0.0/0.0/0.0,none,,images/generated/orientation.png,,reference-missing
p3_ovals,p3_ovals,COLOR,color-space-gated,expected-unsupported,85.03333333333333,0.0,true,450,320,122448,144000,255/255/255/0,64.32/107.63/107.76/0.0,unsupported.material.color_space,images/reference/p3_ovals.png,images/generated/p3_ovals.png,images/diff/p3_ovals.png,
paint_alpha_normals_rt,paint_alpha_normals_rt,COLOR,color-alpha,no-score,,0.0,,512,512,,,0/0/0/0,0.0/0.0/0.0/0.0,none,images/reference/paint_alpha_normals_rt.png,,,generated-render-missing
raster,raster,COLOR,color-solid,no-score,,0.0,,256,256,,,0/0/0/0,0.0/0.0/0.0/0.0,none,,images/generated/raster.png,,reference-missing
rect,rect,COLOR,color-solid,no-score,,0.0,,256,256,,,0/0/0/0,0.0/0.0/0.0/0.0,none,,images/generated/rect.png,,reference-missing
shader,shader,COLOR,color-solid,no-score,,0.0,,256,256,,,0/0/0/0,0.0/0.0/0.0/0.0,none,,images/generated/shader.png,,reference-missing
alphagradients,alphagradients,GRADIENT,gradient-linear,instrumented-existing,39.623046875,0.0,true,640,480,88523,307200,255/255/255/0,202.31/176.85/198.95/0.0,none,images/reference/alphagradients.png,images/generated/alphagradients.png,images/diff/alphagradients.png,
analytic_gradients,analytic_gradients,GRADIENT,gradient-linear,instrumented-existing,59.326171875,0.0,true,1024,512,311040,524288,254/255/254/0,112.73/117.25/142.35/0.0,none,images/reference/analytic_gradients.png,images/generated/analytic_gradients.png,images/diff/analytic_gradients.png,
bug6643,bug6643,GRADIENT,gradient-linear,instrumented-existing,1.38,0.0,true,200,200,552,40000,139/27/63/0,20.52/16.73/37.42/0.0,none,images/reference/bug6643.png,images/generated/bug6643.png,images/diff/bug6643.png,
clamped_gradients,clamped_gradients,GRADIENT,gradient-tile-mode,expected-unsupported,2.997549019607843,0.0,true,640,510,9784,326400,183/208/206/0,7.33/6.73/6.22/0.0,unsupported.material.gradient_tile_mode,images/reference/clamped_gradients.png,images/generated/clamped_gradients.png,images/diff/clamped_gradients.png,
gradients_2pt_conical_inside_nodither,gradients_2pt_conical_inside_nodither,GRADIENT,gradient-conical,instrumented-existing,0.016798130295062812,0.0,true,840,815,115,684600,221/221/221/0,38.78/48.02/59.55/0.0,none,images/reference/gradients_2pt_conical_inside_nodither.png,images/generated/gradients_2pt_conical_inside_nodither.png,images/diff/gradients_2pt_conical_inside_nodither.png,
