rowId,name,family,subfamily,classification,similarity,minSimilarity,isPassing,width,height,matchingPixels,totalPixels,maxDiff,meanDiff,fallbackReason,referencePath,generatedPath,diffPath,noScoreCause
custommesh_cs,custommesh_cs,MESH,mesh-color-space-gated,expected-unsupported,83.27039024713443,83.0,true,468,258,100544,120744,255/255/255/0,255.0/255.0/255.0/0.0,unsupported.mesh.color_space,images/reference/custommesh_cs.png,images/generated/custommesh_cs.png,images/diff/custommesh_cs.png,
custommesh_cs_uniforms,custommesh_cs_uniforms,MESH,mesh-custom-uniforms-gated,no-score,,0.0,,200,900,,,0/0/0/0,0.0/0.0/0.0/0.0,unsupported.mesh.custom_uniforms,,images/generated/custommesh_cs_uniforms.png,,reference-missing
custommesh,custommesh,MESH,mesh-custom-basic,instrumented-existing,84.3304110656536,84.0,true,435,1180,432868,513300,255/255/255/255,255.0/205.78/255.0/214.94,none,images/reference/custommesh.png,images/generated/custommesh.png,images/diff/custommesh.png,
custommesh_uniforms,custommesh_uniforms,MESH,mesh-custom-uniforms-gated,expected-unsupported,100.0,99.0,true,140,250,35000,35000,0/0/0/0,0.0/0.0/0.0/0.0,unsupported.mesh.custom_uniforms,images/reference/custommesh_uniforms.png,images/generated/custommesh_uniforms.png,,
mesh_updates,mesh_updates,MESH,mesh-update-or-dynamic-gated,expected-unsupported,0.0,0.0,true,270,490,0,132300,255/255/255/0,238.24/241.16/240.56/0.0,unsupported.mesh.dynamic_updates,images/reference/mesh_updates.png,images/generated/mesh_updates.png,images/diff/mesh_updates.png,
mesh_with_effects,mesh_with_effects,MESH,mesh-effect-dependency-gated,no-score,,0.0,,320,320,,,0/0/0/0,0.0/0.0/0.0/0.0,unsupported.mesh.effect_dependency,images/reference/mesh_with_effects.png,,,generated-render-missing
mesh_with_image,mesh_with_image,MESH,mesh-image-dependency-gated,no-score,,0.0,,320,320,,,0/0/0/0,0.0/0.0/0.0/0.0,unsupported.mesh.image_dependency,images/reference/mesh_with_image.png,,,generated-render-missing
mesh_with_paint_color,mesh_with_paint_color,MESH,mesh-paint-color-dependency-gated,no-score,,0.0,,320,320,,,0/0/0/0,0.0/0.0/0.0/0.0,unsupported.mesh.paint_color_dependency,images/reference/mesh_with_paint_color.png,,,generated-render-missing
mesh_with_paint_image,mesh_with_paint_image,MESH,mesh-paint-image-dependency-gated,no-score,,0.0,,320,320,,,0/0/0/0,0.0/0.0/0.0/0.0,unsupported.mesh.paint_image_dependency,images/reference/mesh_with_paint_image.png,,,generated-render-missing
mesh_zero_init,mesh_zero_init,MESH,mesh-zero-init-gated,no-score,,0.0,,90,30,,,0/0/0/0,0.0/0.0/0.0/0.0,unsupported.mesh.zero_init,images/reference/mesh_zero_init.png,,,generated-render-missing
picture_mesh,picture_mesh,MESH,mesh-picture-dependency-gated,expected-unsupported,100.0,99.0,true,390,90,35100,35100,0/0/0/0,0.0/0.0/0.0/0.0,unsupported.mesh.picture_dependency,images/reference/picture_mesh.png,images/generated/picture_mesh.png,,
skbug_13047,skbug_13047,MESH,mesh-basic-vertices,instrumented-existing,0.0,0.0,true,200,200,0,40000,236/240/254/0,131.34/131.9/150.7/0.0,none,images/reference/skbug_13047.png,images/generated/skbug_13047.png,images/diff/skbug_13047.png,
vertices_batching,vertices_batching,MESH,mesh-basic-vertices,instrumented-existing,66.208,0.0,true,100,500,33104,50000,255/255/255/0,115.7/112.24/140.45/0.0,none,images/reference/vertices_batching.png,images/generated/vertices_batching.png,images/diff/vertices_batching.png,
vertices_collapsed,vertices_collapsed,MESH,mesh-basic-vertices,instrumented-existing,36.0,0.0,true,50,50,900,2500,255/0/255/0,255.0/0.0/255.0/0.0,none,images/reference/vertices_collapsed.png,images/generated/vertices_collapsed.png,images/diff/vertices_collapsed.png,
vertices,vertices,MESH,mesh-basic-vertices,instrumented-existing,58.26417894162576,0.0,true,975,1175,667489,1145625,255/255/255/0,127.34/120.58/67.53/0.0,none,images/reference/vertices.png,images/generated/vertices.png,images/diff/vertices.png,
