upstream_cpp	n_gm	kt_files	gm_status	source_tags	test_files	disabled_tags	bucket
3d	1	Sk3dSimpleGM.kt	PORTED	-	skia-integration-tests/src/test/kotlin/org/skia/tests/Sk3dSimpleTest.kt	-	ported
aaa	3	AnalyticAntialiasConvexGM.kt,AnalyticAntialiasGeneralGM.kt,AnalyticAntialiasInverseGM.kt	PORTED	-	gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/AnalyticAntialiasConvexWebGpuTest.kt,gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/crossbackend/AnalyticAntialiasConvexCrossBackendTest.kt,gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/AnalyticAntialiasInverseWebGpuTest.kt,gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/crossbackend/AnalyticAntialiasInverseCrossBackendTest.kt	-	ported
aaclip	3	AaclipGM.kt,CgimageGM.kt,ClipCubicGM.kt	PORTED	STUB.MISSING_API	gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/ClipCubicWebGpuTest.kt,gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/crossbackend/AaclipCrossBackendTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/CgimageTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/ClipCubicTest.kt,gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/crossbackend/ClipCubicCrossBackendTest.kt	STUB.MISSING_API	implementation
aarecteffect	1	-	MISSING	-	-	-	missing-mapping
aarectmodes	1	AaRectModesGM.kt	PORTED	-	skia-integration-tests/src/test/kotlin/org/skia/tests/AaRectModesTest.kt	-	ported
aaxfermodes	1	AAXfermodesGM.kt	PORTED	-	skia-integration-tests/src/test/kotlin/org/skia/tests/AAXfermodesTest.kt	-	ported
addarc	6	AddArcGM.kt,AddArcMeasGM.kt,FillCircleGM.kt,ManyArcsGM.kt,StrokeCircleGM.kt,TinyAngleArcsGM.kt	PARTIAL	-	gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/AddArcWebGpuTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/AddArcTest.kt,gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/crossbackend/AddArcCrossBackendTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/AddArcMeasTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/FillCircleTest.kt,gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/FillCircleWebGpuTest.kt,gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/crossbackend/FillCircleCrossBackendTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/ManyArcsTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/StrokeCircleTest.kt,gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/StrokeCircleWebGpuTest.kt,gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/crossbackend/StrokeCircleCrossBackendTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/TinyAngleArcsTest.kt	STUB.MISSING_API	implementation
all_bitmap_configs	3	AllBitmapConfigsGM.kt,AllVariants8888GM.kt,NotNative32BitmapConfigGM.kt	PORTED	-	skia-integration-tests/src/test/kotlin/org/skia/tests/AllBitmapConfigsTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/AllVariants8888Test.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/NotNative32BitmapConfigTest.kt	-	ported
alpha_image	3	AlphaBitmapIsCoverageAndroidGM.kt,AlphaImageAlphaTintGM.kt,AlphaImageGM.kt	PARTIAL	STUB.INTRACTABLE	skia-integration-tests/src/test/kotlin/org/skia/tests/AlphaBitmapIsCoverageAndroidTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/AlphaImageAlphaTintTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/AlphaImageTest.kt	STUB.INTRACTABLE	fixture-gated
alphagradients	1	AlphaGradientsGM.kt	PORTED	-	-	-	ported
analytic_gradients	1	AnalyticGradientShaderGM.kt	PORTED	-	gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/AnalyticGradientShaderWebGpuTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/AnalyticGradientShaderTest.kt,gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/crossbackend/AnalyticGradientShaderCrossBackendTest.kt	-	ported
androidblendmodes	1	AndroidBlendModesGM.kt	PORTED	-	skia-integration-tests/src/test/kotlin/org/skia/tests/AndroidBlendModesTest.kt	-	ported
animated_gif	2	AnimCodecPlayerExifGM.kt,AnimatedGifGM.kt	PARTIAL	-	gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/AnimCodecPlayerExifWebGpuTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/AnimCodecPlayerExifTest.kt,gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/crossbackend/AnimCodecPlayerExifCrossBackendTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/AnimatedGifTest.kt	STUB.ANIM_CODEC_PLAYER	codec-gated
animated_image_orientation	1	AnimatedImageGM.kt	TEST_DISABLED	STUB.ANIMATED_IMAGE	gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/AnimatedImageWebGpuTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/AnimatedImageTest.kt,gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/crossbackend/AnimatedImageCrossBackendTest.kt	STUB.ANIMATED_IMAGE,STUB.FIXTURE	codec-gated
