gm,refusalCode,rootCauseBucket,item
bigblurs,unsupported.geometry.path_key_nondeterministic,unsupported geometry feature,none
blur2rectsnonninepatch,unsupported.native-mask-blur.mixed-local-sizes,unsupported native mask-blur feature,none
blurcircles2,invalid.surface.prepared.frame-build-contract,invalid frame plan / preflight seal,none
blurcircles,invalid.surface.prepared.frame-build-contract,invalid frame plan / preflight seal,none
BlurDrawImage,unsupported.image.native_binding,unsupported image/sampler feature,none
blur_ignore_xform_circle,unsupported.core_primitive.stencil_edge_fan_budget,unsupported core-primitive execution feature,none
blur_ignore_xform_rrect,stale.preflight.resource_generation,stale resource generation / preflight staleness,none
blur_ignore_xform_rect,stale.preflight.resource_generation,stale resource generation / preflight staleness,none
blur_image,unsupported.image.native_binding,unsupported image/sampler feature,none
blur_matrix_rect,unsupported.native-mask-blur.mixed-local-sizes,unsupported native mask-blur feature,none
check_small_sigma_offset,unsupported.geometry.path_key_nondeterministic,unsupported geometry feature,none
blurquickreject,unsupported.geometry.path_key_nondeterministic,unsupported geometry feature,none
blurrect_gallery,unsupported.image.alpha_interpretation,unsupported image/sampler feature,none
blurrects,unsupported.material.source_unimplemented,unsupported material feature,none
blurredclippedcircle,invalid.surface.prepared.frame-build-contract,invalid frame plan / preflight seal,none
emboss,unsupported.geometry.path_key_nondeterministic,unsupported geometry feature,none
embossmaskfilter,invalid.surface.prepared.frame-build-contract,invalid frame plan / preflight seal,none
fast_slow_blurimagefilter,unsupported.image.native_binding,unsupported image/sampler feature,none
hdr-pip-blur,unsupported.image.alpha_interpretation,unsupported image/sampler feature,none
imageblurclampmode,unsupported.core_primitive.stencil_edge_fan_budget,unsupported core-primitive execution feature,none
imageblurrepeatmode,unsupported.core_primitive.coverage_sample.scalar_aa_not_promoted,unsupported core-primitive execution feature,none
imageblurrepeatunclipped,unsupported.image.native_binding,unsupported image/sampler feature,none
inverse_fill_filters,unsupported.geometry.path_key_nondeterministic,unsupported geometry feature,none
inverse_windingmode_filters,unsupported.geometry.path_key_nondeterministic,unsupported geometry feature,none
matrixconvolution_color,unsupported.core_primitive.stencil_edge_fan_budget,unsupported core-primitive execution feature,none
rrect_blurs,unsupported.geometry.path_key_nondeterministic,unsupported geometry feature,none
simpleblurroundrect,unsupported.material.source_unimplemented,unsupported material feature,none
TiledBlurBigSigma,unsupported.composite.paint,unsupported composite operation,none
aaclip,unsupported.recording.core_primitive_mixed_uniform_layouts,unsupported recording feature,4
circular-clips,unsupported.core_primitive.coverage_sample.scalar_aa_not_promoted,unsupported core-primitive execution feature,none
clipcubic,unsupported.geometry.path_key_nondeterministic,unsupported geometry feature,none
clipdrawdraw,unsupported.recording.core_primitive_mixed_uniform_layouts,unsupported recording feature,4
cliplargerect,unsupported.geometry.path_key_nondeterministic,unsupported geometry feature,none
clip_region,unsupported.composite.clip,unsupported composite operation,none
