item,family,mode,context,refusalCode,referenceKind,expectedGpuRoute,pmValue,risk,ownerTask
3,clip:coverage,n/a,complex-clip(AA-intersect+path-difference),invalid.preflight.core_primitive_clip_producer_authority,cpu-oracle,prepared-composite-analytic-clip,medium,low,5
3,clip:coverage,sigma=1.5,complex-clip(AA-intersect+path-difference),invalid.preflight.core_primitive_clip_producer_authority,cpu-oracle,prepared-composite-analytic-clip,medium,low,5
4,DrawRRect,DST,UNCLIPPED,invalid.preflight.core_primitive_direct_geometry_resources,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawRRect,DST,SCISSOR,invalid.preflight.core_primitive_direct_geometry_resources,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawRRect,CLEAR,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawRRect,SRC,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawRRect,DST,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawRRect,SRC_OVER,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawRRect,DST_OVER,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawRRect,SRC_IN,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawRRect,DST_IN,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawRRect,SRC_OUT,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawRRect,DST_OUT,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawRRect,SRC_ATOP,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawRRect,DST_ATOP,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawRRect,XOR,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawRRect,PLUS,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
